ITEMIZED LABOR COST SHEET
Task Code,Craft Role & Task Description,Crew Size,Reg. Hours,Reg. Rate ($/hr),OT Hours,OT Rate ($/hr),Total Labor Cost ($)
LAB-201,Selective Kitchen Demolition & Haul Prep,2,32,40.0,0,60.0,2560.0
LAB-202,Structural Header & Framing Modification,2,24,55.0,4,82.5,3300.0
LAB-203,Custom Cabinetry & Island Box Installation,2,40,65.0,0,97.5,5200.0
LAB-204,"Finish Carpentry, Crown Molding & Trim",1,32,60.0,0,90.0,1920.0
LAB-205,"Drywall Hanging, Taping & Sanding Prep",2,28,45.0,0,67.5,2520.0
LAB-206,Engineered Hardwood Floor Installation,2,24,50.0,0,75.0,2400.0
LAB-207,Ceramic Tile Backsplash Layout & Setting,1,16,55.0,0,82.5,880.0
LAB-208,Interior Spray Primer & Architectural Paint,2,36,45.0,0,67.5,3240.0
LAB-209,Project Supervisor & Quality Control Audit,1,24,75.0,0,112.5,1800.0
LAB-210,"Jobsite Cleanup, Dust Control & Sanitizing",1,16,35.0,0,52.5,560.0
,TOTAL DIRECT LABOR COST ($),,,,,,16800.0
