ADVANCED MARKUP & PROFIT MARGIN CALCULATOR

Cost Category,Base Cost ($),Markup %,Markup Amt ($),Selling Price ($),Category Share,Profit Margin %
Direct Materials,21650.0,20%,4330.0,25980.0,27.4%,16.7%
Direct Labor,16800.0,35%,5880.0,22680.0,24.2%,25.9%
Equipment & Rentals,2850.0,25%,712.5,3562.5,3.8%,20.0%
Subcontractors,9750.0,15%,1462.5,11212.5,12.0%,13.0%
Permits & Other Costs,1450.0,15%,217.5,1667.5,1.8%,13.0%
Overhead & Contingency,7875.0,20%,1575.0,9450.0,10.1%,16.7%
TOTAL JOB MARKUP & MARGIN,60375.0,20.0%,14177.5,74552.5,79.1%,19.0%

Markup %,Equivalent Margin %,"Price on $1,000 Cost ($)",Gross Profit ($)
10%,9.1%,1100.0,100.0
15%,13.0%,1150.0,150.0
20%,16.7%,1200.0,200.0
25%,20.0%,1250.0,250.0
30%,23.1%,1300.0,300.0
35%,25.9%,1350.0,350.0
40%,28.6%,1400.0,400.0
50%,33.3%,1500.0,500.0
75%,42.9%,1750.0,750.0
100%,50.0%,2000.0,1000.0

Target Margin Reverse Calculator
Input Total Job Cost ($):,60375.0,Cost to price
Desired Profit Margin (%):,22.50%,Target %
Required Selling Price ($):,77935.48,Formula
Required Gross Profit ($):,17560.48,Profit $
Equivalent Markup % Needed:,29.0%,Equivalent
