MULTIPLE ESTIMATE VERSIONS COMPARISON
Cost Category / Metric,Option 1: Standard / Base,Option 2: Upgraded / Preferred,Option 3: Premium / Luxury
Direct Materials & Fixture Packages ($),16500.0,21650.0,29800.0
Direct Labor & Craft Hours ($),14200.0,16800.0,21500.0
Licensed Subcontractor Services ($),8500.0,9750.0,12400.0
Equipment Rentals & Tool Allowance ($),2200.0,2850.0,3600.0
"Permits, Fees & Site Protection ($)",1450.0,1450.0,1850.0
TOTAL DIRECT JOB COSTS ($),42850.0,52500.0,69150.0
Overhead Allowance (10.0%),4285.0,5250.0,6915.0
Contingency Allowance (5.0%),2142.5,2625.0,3457.5
SUBTOTAL JOB COST (Before Markup),49277.5,60375.0,79522.5
Contractor Markup % Applied,22%,23.48%,25%
Total Markup Amount ($),10841.05,14177.5,19880.63
ESTIMATED CONTRACT SELLING PRICE ($),60118.55,74552.5,99403.13
Equivalent Profit Margin %,18.0%,19.0%,20.0%
