PROGRESS INVOICE & CONTRACT BILLING SUMMARY

CONTRACTOR / PAYEE DETAILS,,,INVOICE & CONTRACT METRICS
Company Name:,Novality Construction & Design LLC,,Invoice Number:,INV-2026-001
Client / Owner:,Robert Sterling / Apex Properties,,Billing Period:,2026-08-01 to 2026-08-16

PROGRESS BILLING FINANCIAL BREAKDOWN,,
1. Original Contract Bid Price ($),,,78685.51
2. Net Addition from Approved Change Orders ($),,,2002.5
3. REVISED TOTAL CONTRACT PRICE ($),,,80688.01
4. Total Value of Work Completed to Date ($),,,36309.6
5. Retainage Withheld (5.00% of Completed Work),,,1815.48
6. Total Earned Less Retainage ($),,,34494.12
7. Less Previous Payments Received ($),,,15737.1
8. CURRENT PROGRESS INVOICE AMOUNT DUE ($),,,18757.02
9. Balance to Finish Including Retainage ($),,,46193.89
