CONSTRUCTION PROJECT TIMELINE & GANTT SCHEDULE TRACKER (12 WEEKS)
Phase #,Construction Phase & Task,Lead Trade,Status,Start Wk,Duration,End Wk,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
PH-01,Permitting & Material Procurement,Management,Completed,1,2,2,█,█,,,,,,,,,,,
PH-02,Selective Kitchen Demolition & Site Prep,Demolition,Completed,2,1,2,,█,,,,,,,,,,,
PH-03,Structural Framing & Wall Header Reroute,Carpentry,Completed,3,1,3,,,█,,,,,,,,,,
PH-04,Electrical & Plumbing Rough-In Wiring/Pipes,MEP Subs,Completed,3,2,4,,,█,█,,,,,,,,,
PH-05,Municipal Inspection (Rough MEP & Frame),Municipal,Completed,5,1,5,,,,,█,,,,,,,,
PH-06,"Drywall Hanging, Taping & Plaster Sanding",Drywall,In Progress,5,2,6,,,,,█,█,,,,,,,
PH-07,Engineered Hardwood Floor Installation,Flooring,Scheduled,7,1,7,,,,,,,█,,,,,,
PH-08,Custom Cabinetry & Kitchen Island Box Install,Carpentry,Scheduled,8,2,9,,,,,,,,█,█,,,,
PH-09,Quartz Countertop Slab & Tile Backsplash,Stone / Tile,Scheduled,9,2,10,,,,,,,,,█,█,,,
PH-10,"Interior Paint, Trim Molding & Enamel Finish",Painting,Scheduled,10,2,11,,,,,,,,,,█,█,,
PH-11,"MEP Fixtures, Faucet & LED Trim Finish",MEP Subs,Scheduled,11,1,11,,,,,,,,,,,█,,
PH-12,"Final Cleanup, Punchlist & Owner Sign-Off",Management,Scheduled,12,1,12,,,,,,,,,,,,█
